ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Wiki_Bio
0,A-Bomb,1,Male,yellow,Human,No Hair,Marvel Comics,,203.0,441.0,"richard milhouse ""rick"" jones is a character appearing in american comic books published by marvel comics. the character has been depicted as a sidekick and friend to the hulk, captain america, mar-vell / captain marvel, rom the space knight, and genis-vell / captain marvel."
3,Abomination,0,Male,green,Human / Radiation,No Hair,Marvel Comics,,203.0,441.0,"the abomination (emil blonsky) is a character appearing in american comic books published by marvel comics. created by writer stan lee and artist gil kane, the character first appeared in tales to astonish #90 (april 1967)."
4,Abraxas,0,Male,blue,Cosmic Entity,Black,Marvel Comics,,183.0,83.0,no data
5,Absorbing Man,0,Male,blue,Human,No Hair,Marvel Comics,,193.0,122.0,"the absorbing man (carl ""crusher"" creel) is a character appearing in american comic books published by marvel comics. created by writer stan lee and writer-artist jack kirby, the character first appeared in journey into mystery #114 (cover dated march 1965), in the silver age of comic books."
8,Agent 13,1,Female,blue,,Blond,Marvel Comics,,173.0,61.0,the agent (rick mason) is a fictional character appearing in american comic books published by marvel comics. he is the son of tinkerer.
9,Agent Bob,1,Male,brown,Human,Brown,Marvel Comics,,178.0,81.0,"bob, agent of hydra (robert dobalina) is a fictional character appearing in american comic books published by marvel comics. the character is depicted as an antihero and a sidekick of deadpool."
10,Agent Zero,1,Male,,,,Marvel Comics,,191.0,104.0,the marvel cinematic universe (mcu) is an american media franchise and shared universe centered on a series of superhero films produced by marvel studios. the films are based on characters from american comic books published by marvel comics.
11,Air-Walker,0,Male,blue,,White,Marvel Comics,,188.0,108.0,"air-walker (gabriel lan) is a character appearing in american comic books published by marvel comics. created by writer stan lee and artist john buscema, the character first appeared (in android form) in fantastic four #120 (march 1972)."
12,Ajax,0,Male,brown,Cyborg,Black,Marvel Comics,,193.0,90.0,"francis freeman (also known as ajax) is a supervillain appearing in american comic books published by marvel comics. created by writer joe kelly and artist walter a. mcdaniel, the character first appeared in deadpool  #14 (march 1998)."
20,Ammo,0,Male,brown,Human,Black,Marvel Comics,,188.0,101.0,no data
22,Angel,1,Male,blue,,Blond,Marvel Comics,,183.0,68.0,"dark angel (shevaun haldane), originally hell's angel, is a superheroine appearing in american comic books published by marvel comics under their imprint marvel uk. created by bernie jaye and geoff senior, the character first appeared in hell's angel #1 (july 1992). 


== publication history ==
dark angel first appeared in hell's angel #1 (july 1992), created by bernie jaye and geoff senior."
24,Angel Dust,1,Female,yellow,Mutant,Black,Marvel Comics,,165.0,57.0,"christine is a character appearing in american comic books published by marvel comics. created by writer geoff johns and artist shawn martinbrough, the character first appeared in morlocks #1 (june 2002)."
